mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNeighborsClassifier__n_neighbors,param_SVR__proportion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1695829391479493,0.026595346798311145,1.3376708507537842,0.046761442066423,10,0.5,"{'KNeighborsClassifier__n_neighbors': 10, 'SVR__proportion': 0.5}",0.7262903747741305,0.7197081327794318,0.7201308377526577,0.7318161995499006,0.7248488069366028,0.7245588703585446,0.004447204190779016,27
3.0893855571746824,0.0774162280027174,1.3756445407867433,0.04355503358837793,10,0.75,"{'KNeighborsClassifier__n_neighbors': 10, 'SVR__proportion': 0.75}",0.7245595337775154,0.7312744697195541,0.7263373368081789,0.7384535676574375,0.7320431668298685,0.7305336149585109,0.004875482738244355,26
3.9514811515808104,0.02967634392096343,1.3685166835784912,0.03282033402683111,10,1,"{'KNeighborsClassifier__n_neighbors': 10, 'SVR__proportion': 1}",0.7231698818368503,0.7213513991240121,0.722875096787967,0.7231109147860901,0.723079602018071,0.7227173789105981,0.0006901609478022574,28
2.1515644550323487,0.022507254640802755,1.3849013328552247,0.018670182966198587,20,0.5,"{'KNeighborsClassifier__n_neighbors': 20, 'SVR__proportion': 0.5}",0.777713718645061,0.7814526290879246,0.7791491026846911,0.7821026946145525,0.78297958622088,0.7806795462506219,0.0019520032324912557,16
3.0457270622253416,0.03031850461213954,1.40499587059021,0.009386070149137086,20,0.75,"{'KNeighborsClassifier__n_neighbors': 20, 'SVR__proportion': 0.75}",0.7868509310867706,0.7841371899006906,0.7923800546652537,0.7851390943998824,0.7809811342919466,0.7858976808689089,0.0037623680877075204,14
3.9886690616607665,0.04922145804898195,1.4313591957092284,0.0305581432526721,20,1,"{'KNeighborsClassifier__n_neighbors': 20, 'SVR__proportion': 1}",0.7774331332602448,0.7758710145830257,0.7776654675284584,0.77812865511192,0.7685049742377051,0.7755206489442708,0.003588927050180443,18
2.18127326965332,0.029791596610178373,1.466937255859375,0.02026014599412886,30,0.5,"{'KNeighborsClassifier__n_neighbors': 30, 'SVR__proportion': 0.5}",0.8404470354204947,0.8386077218257367,0.8350796738966305,0.8357281901541929,0.8374376527251763,0.8374600548044462,0.001944492894235077,5
3.038998556137085,0.03232533871598362,1.5234457015991212,0.04280284215349835,30,0.75,"{'KNeighborsClassifier__n_neighbors': 30, 'SVR__proportion': 0.75}",0.8434932957533443,0.8378603883220652,0.8388593999052169,0.8363333915335102,0.8423839972578864,0.8397860945544047,0.0027195847036919235,3
3.9612197875976562,0.06656316836163191,1.5699551105499268,0.04824355359480557,30,1,"{'KNeighborsClassifier__n_neighbors': 30, 'SVR__proportion': 1}",0.8422739346889148,0.8400144937632578,0.8385598165058383,0.8367964450151816,0.841489806520619,0.8398268992987624,0.0019787665997417618,2
2.1866699695587157,0.030367202771631577,1.5711944103240967,0.03983903560743849,40,0.5,"{'KNeighborsClassifier__n_neighbors': 40, 'SVR__proportion': 0.5}",0.8419657039555299,0.838480981687967,0.8332565600584254,0.834179649731488,0.8388944675233626,0.8373554725913547,0.0032179634599661094,6
3.037202167510986,0.03155037126360918,1.6144117355346679,0.03302136077674068,40,0.75,"{'KNeighborsClassifier__n_neighbors': 40, 'SVR__proportion': 0.75}",0.843379931195273,0.8399707232032873,0.8360687416504873,0.839720467500297,0.840306358221821,0.839889244354233,0.002323370135787238,1
4.0223541259765625,0.1005296678516085,1.6405045509338378,0.015181839674640672,40,1,"{'KNeighborsClassifier__n_neighbors': 40, 'SVR__proportion': 1}",0.8421534352464082,0.8389359563160572,0.8360739045694112,0.8394357693996343,0.839436775163061,0.8392071681389144,0.001932685398065255,4
2.1873844146728514,0.02189430192252861,1.654063606262207,0.02247427538791877,50,0.5,"{'KNeighborsClassifier__n_neighbors': 50, 'SVR__proportion': 0.5}",0.8193406128329961,0.8190721213567314,0.8132087447241002,0.8193616030635286,0.8173042133977879,0.8176574590750288,0.0023517748430671903,9
3.0866400241851806,0.029017791232779852,1.6882651805877686,0.02314778859361365,50,0.75,"{'KNeighborsClassifier__n_neighbors': 50, 'SVR__proportion': 0.75}",0.8246628267848792,0.8217675950031844,0.8187189872847365,0.8183915107129898,0.8219957645290573,0.8211073368629694,0.002321494281670822,7
3.9997448921203613,0.04161753564992052,1.7345869064331054,0.023634593777214333,50,1,"{'KNeighborsClassifier__n_neighbors': 50, 'SVR__proportion': 1}",0.8209276942912676,0.8192661268749666,0.8161299510716208,0.8165659830425603,0.819577909251173,0.8184935329063177,0.0018439025306255018,8
2.1816702842712403,0.02007253235904679,1.736396360397339,0.02661136593983103,60,0.5,"{'KNeighborsClassifier__n_neighbors': 60, 'SVR__proportion': 0.5}",0.7973298743811009,0.7936811019325657,0.7847241834609043,0.7863831567078654,0.7896976836061366,0.7903632000177145,0.00463950836560022,12
3.076486349105835,0.026754450877400374,1.7890087127685548,0.036858647480265204,60,0.75,"{'KNeighborsClassifier__n_neighbors': 60, 'SVR__proportion': 0.75}",0.8054124838391141,0.8027782882314622,0.7967479511257981,0.8020445024836993,0.8036840309710767,0.8021334513302302,0.002918345092526002,11
3.97368745803833,0.043793275367211386,1.8298198699951171,0.02588759212645632,60,1,"{'KNeighborsClassifier__n_neighbors': 60, 'SVR__proportion': 1}",0.8054721933210761,0.8040380964527731,0.7969057218820059,0.8027215153716859,0.8028992672946385,0.8024073588644359,0.002920999590202577,10
2.190454435348511,0.04372528880948906,1.8340843200683594,0.03871486181471562,70,0.5,"{'KNeighborsClassifier__n_neighbors': 70, 'SVR__proportion': 0.5}",0.7652012326904444,0.762837384001589,0.7537569287042468,0.7586732344359451,0.7644976104401999,0.760993278054485,0.004269316309261396,21
3.037025880813599,0.03562433384238222,1.8575368404388428,0.018521705269960994,70,0.75,"{'KNeighborsClassifier__n_neighbors': 70, 'SVR__proportion': 0.75}",0.7893419893627107,0.785659330870344,0.7767514967771316,0.7857828500438915,0.7851623610604876,0.784539605622913,0.004169047724194794,15
4.070803833007813,0.12598543183580901,1.9533884525299072,0.022887135064923424,70,1,"{'KNeighborsClassifier__n_neighbors': 70, 'SVR__proportion': 1}",0.7908131093885237,0.7889318471442329,0.77981880702511,0.7859502090781012,0.7884440330201521,0.7867916011312239,0.0038160584649764794,13
2.196665811538696,0.032563198615242844,1.952296543121338,0.028257143715185156,80,0.5,"{'KNeighborsClassifier__n_neighbors': 80, 'SVR__proportion': 0.5}",0.7443476495429117,0.7423980079074788,0.7348506548592721,0.7369575280856084,0.7451809180662201,0.7407469516922982,0.004110404288053908,24
3.062611627578735,0.03329890307513461,2.0352742195129396,0.04939845677534618,80,0.75,"{'KNeighborsClassifier__n_neighbors': 80, 'SVR__proportion': 0.75}",0.7758121285002597,0.7695956508605889,0.763813624259121,0.765766615681166,0.7728156762847153,0.7695607391171703,0.004406822116962403,19
4.0115748882293705,0.036555287182021515,2.031221628189087,0.05216054032798478,80,1,"{'KNeighborsClassifier__n_neighbors': 80, 'SVR__proportion': 1}",0.7790333853798626,0.776264319964552,0.7724121639979069,0.7750125318122972,0.7788688969940012,0.776318259629724,0.0024836697247699355,17
2.225719690322876,0.07079102917740207,1.9949801921844483,0.02835112488804641,90,0.5,"{'KNeighborsClassifier__n_neighbors': 90, 'SVR__proportion': 0.5}",0.7262180460474786,0.7193340673682569,0.7185063957166816,0.7073574410803668,0.7228345309964218,0.7188500962418412,0.006365467546294865,29
3.077630567550659,0.03029245208508249,2.0798073291778563,0.02405814217772806,90,0.75,"{'KNeighborsClassifier__n_neighbors': 90, 'SVR__proportion': 0.75}",0.7600762619667567,0.7574097488721125,0.7512369549131007,0.7549714886183787,0.760348970406685,0.7568086849554068,0.003405625477903462,22
3.9905746459960936,0.05959304266171107,2.1055848598480225,0.023235915453959644,90,1,"{'KNeighborsClassifier__n_neighbors': 90, 'SVR__proportion': 1}",0.7685127952248451,0.7625937025490599,0.7594883051169756,0.7604856201309316,0.7646996347871845,0.7631560115617992,0.0032241946671962415,20
2.1850852966308594,0.02874617266020712,2.0712363719940186,0.04959071659919809,100,0.5,"{'KNeighborsClassifier__n_neighbors': 100, 'SVR__proportion': 0.5}",0.7002772083303765,0.6968745279193468,0.6974060154308248,0.6924725446699769,0.6999614591454874,0.6973983510992026,0.0028069684807046588,30
3.0875170707702635,0.06674779474772122,2.1582974910736086,0.04522419265485942,100,0.75,"{'KNeighborsClassifier__n_neighbors': 100, 'SVR__proportion': 0.75}",0.7407040373110566,0.7392022018871847,0.7320222469505924,0.7356639822170298,0.7456671711576015,0.7386519279046929,0.004617533570090453,25
4.075543975830078,0.09709732383209957,2.2601511478424072,0.02619216276039902,100,1,"{'KNeighborsClassifier__n_neighbors': 100, 'SVR__proportion': 1}",0.7542032833717304,0.7500305831325774,0.746683863880246,0.7448887773161994,0.7533935799036131,0.7498400175208733,0.0036380845265954805,23
